Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
43.454,C_S,179.561,36.637,0,10,2147483647,N/A
43.561,S_C,162.146,34.030,0,4,4,N/A
43.666,C_S,170.537,37.748,0,10,2147483647,N/A
43.769,S_C,154.943,34.768,0,4,4,N/A
43.769,C_S,N/A,N/A,N/A,N/A,N/A,0.0024
43.769,S_C,N/A,N/A,N/A,N/A,N/A,0.0030
44.007,C_S,162.133,38.669,0,10,2147483647,N/A
44.113,S_C,165.266,46.721,0,4,4,N/A
44.488,C_S,155.018,39.239,0,10,2147483647,N/A
44.657,S_C,191.483,87.475,0,4,4,N/A
44.779,C_S,156.722,32.838,0,10,2147483647,N/A
44.779,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
44.779,S_C,N/A,N/A,N/A,N/A,N/A,0.0013
44.885,S_C,182.739,83.093,0,4,4,N/A
45.047,C_S,150.373,33.398,0,10,2147483647,N/A
45.191,S_C,180.149,67.500,0,4,4,N/A
45.324,C_S,149.501,26.793,0,10,2147483647,N/A
45.469,S_C,174.271,62.380,0,4,4,N/A
46.142,C_S,148.836,21.425,0,10,2147483647,N/A
46.142,C_S,N/A,N/A,N/A,N/A,N/A,0.0014
46.142,S_C,N/A,N/A,N/A,N/A,N/A,0.0014
46.246,S_C,168.863,57.603,0,4,4,N/A
46.354,C_S,143.188,22.168,0,10,2147483647,N/A
46.458,S_C,161.211,57.715,0,2,2,N/A
46.571,C_S,138.314,22.693,0,10,2147483647,N/A
46.686,S_C,155.096,55.516,0,2,2,N/A
46.800,C_S,135.315,22.734,0,10,2147483647,N/A
46.903,S_C,149.947,51.936,0,2,2,N/A
47.010,C_S,131.216,23.048,0,10,2147483647,N/A
47.117,S_C,144.509,49.829,0,2,2,N/A
47.558,C_S,128.219,23.077,0,10,2147483647,N/A
47.558,C_S,N/A,N/A,N/A,N/A,N/A,0.0023
47.558,S_C,N/A,N/A,N/A,N/A,N/A,0.0023
47.661,S_C,181.445,111.244,0,2,2,N/A
47.772,C_S,125.033,23.152,0,10,2147483647,N/A
47.879,S_C,172.521,101.281,0,2,2,N/A
47.984,C_S,122.775,21.880,0,10,2147483647,N/A
48.093,S_C,164.068,92.867,0,2,2,N/A
48.198,C_S,121.008,19.942,0,10,2147483647,N/A
48.303,S_C,156.616,84.554,0,2,2,N/A
48.407,C_S,118.995,18.983,0,10,2147483647,N/A
48.511,S_C,150.002,76.643,0,2,2,N/A
48.620,C_S,117.091,18.046,0,10,2147483647,N/A
48.620,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
48.620,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
48.725,S_C,144.878,67.732,0,2,2,N/A
48.830,C_S,115.522,16.673,0,10,2147483647,N/A
48.934,S_C,139.885,60.784,0,2,2,N/A
49.067,C_S,114.070,15.409,0,10,2147483647,N/A
49.312,S_C,138.980,47.398,0,2,2,N/A
49.522,C_S,130.342,44.102,0,10,2147483647,N/A
49.669,S_C,147.902,53.393,0,2,2,N/A
49.669,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
49.669,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
49.775,C_S,132.375,37.142,0,10,2147483647,N/A
49.876,S_C,142.606,50.637,0,2,2,N/A
49.980,C_S,128.483,35.640,0,10,2147483647,N/A
50.081,S_C,137.768,47.655,0,2,2,N/A
50.186,C_S,125.018,33.661,0,10,2147483647,N/A
50.292,S_C,133.663,43.950,0,2,2,N/A
